provider    model                     context  max-out  thinking  images
role-model  baseline.decision-only    1.0M     8.2K     no        no    
role-model  baseline.hybrid           1.0M     8.2K     no        no    
role-model  baseline.local-only       32.8K    8.2K     no        no    
role-model  baseline.remote-only      1.0M     8.2K     no        no    
role-model  controller.decision-only  1.0M     8.2K     no        no    
role-model  controller.hybrid         1.0M     8.2K     no        no    
role-model  controller.local-only     32.8K    8.2K     no        no    
role-model  controller.remote-only    1.0M     8.2K     no        no    
role-model  default.decision-only     1.0M     8.2K     no        no    
role-model  default.hybrid            1.0M     8.2K     no        no    
role-model  default.local-only        32.8K    8.2K     no        no    
role-model  default.remote-only       1.0M     8.2K     no        no    
role-model  difficulty.decision-only  1.0M     8.2K     no        no    
role-model  difficulty.hybrid         1.0M     8.2K     no        no    
role-model  difficulty.local-only     32.8K    8.2K     no        no    
role-model  difficulty.remote-only    1.0M     8.2K     no        no    
role-model  hybrid.decision-only      1.0M     8.2K     no        no    
role-model  hybrid.hybrid             1.0M     8.2K     no        no    
role-model  hybrid.local-only         32.8K    8.2K     no        no    
role-model  hybrid.remote-only        1.0M     8.2K     no        no    
role-model  lfm2.5-1.2b-instruct      32.8K    8.2K     no        no    
role-model  openai/gpt-4.1-mini-fast  1.0M     8.2K     no        no    
